offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
40,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
40,30,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
40,45,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
60,17,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
60,27,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
60,42,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
80,14,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
80,24,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
80,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
100,13,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
100,27,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
100,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,10,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,22,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
150,30,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.05"
